Experiment,datafile,Layer,SumSliceX,SumSliceXsame,SumSliceXgain,SumSliceXlost
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,1800,46597,35837,10760,21012
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,2000,44076,34469,9607,19899
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,200,75537,39384,36153,8844
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,400,77013,41144,35869,6884
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,600,79007,39781,39226,7668
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,800,85224,42619,42605,10406
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,1000,78664,41140,37524,5033
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,1200,87830,45939,41891,10558
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,1400,91787,47631,44156,11425
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,1600,80530,44198,36332,6472
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,1800,83556,41165,42391,5432
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,2000,71514,41322,30192,2754
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,200,59495,18492,41003,57045
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,400,59995,17818,42177,59195
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,600,71938,20773,51165,58234
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,800,83493,25039,58454,60185
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,1000,73463,20246,53217,58418
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,1200,86848,25567,61281,62263
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,1400,90534,25967,64567,65820
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,1600,71117,18905,52212,61625
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,1800,70824,19324,51500,64232
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,2000,53665,15160,38505,56354
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,200,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,400,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,600,1143,0,1143,1782
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,800,538,0,538,0
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,1000,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,1200,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,1400,161,0,161,0
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,1600,338,0,338,0
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,1800,0,0,0,0
