Experiment,datafile,Layer,SumSliceY,SumSliceYsame,SumSliceYgain,SumSliceYlost
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,400,3551,637,2914,10809
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,600,33249,16333,16916,36774
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,800,35630,18116,17514,31076
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,1000,52193,26272,25921,35571
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,1200,46524,22027,24497,27884
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,1400,45350,22587,22763,24278
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,1600,45022,17824,27198,21452
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,1800,26995,8681,18314,11125
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,200,319245,297252,21993,6199
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,400,14405,2052,12353,1499
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,600,33591,16362,17229,16887
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,800,46278,18096,28182,17534
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,1000,59952,28057,31895,24136
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,1200,56339,24709,31630,21815
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,1400,49182,21973,27209,23377
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,1600,46142,20732,25410,24290
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,1800,24052,11642,12410,15353
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,200,361094,319245,41849,0
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,400,73748,14144,59604,261
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,600,3743,2537,1206,31054
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,800,3870,2274,1596,44004
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,1000,19002,12795,6207,47157
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,1200,10053,5391,4662,50948
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,1400,11031,5744,5287,43438
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,1600,11785,6432,5353,39710
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,1800,13781,6737,7044,17315
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,200,322740,322554,186,38540
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,400,304247,73748,230499,0
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,600,3024,1179,1845,2564
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,800,12337,1319,11018,2551
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,1000,33399,8957,24442,10045
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,1200,33744,4792,28952,5261
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,1400,37447,5388,32059,5643
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,1600,42341,6361,35980,5424
SM_1_03022019_FR,SM_1_03022019_FR_25_t1_ORG,1800,33710,7626,26084,6155
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,200,159808,127872,31936,194868
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,400,5665,2063,3602,302184
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,600,206650,2259,204391,765
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,800,104994,1629,103365,10708
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,1000,24365,5973,18392,27426
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,1200,50362,13190,37172,20554
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,1400,45618,13750,31868,23697
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,1600,67880,21432,46448,20909
SM_1_03022019_FR,SM_1_03022019_FR_26_t1_ORG,1800,62333,21173,41160,12537
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,200,0,0,0,1782
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,400,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,600,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,800,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,1000,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,1200,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,1400,1143,0,1143,0
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,1600,499,0,499,0
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,1800,538,0,538,0
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,200,42,0,42,0
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,400,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,600,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,800,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,1000,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,1200,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,1400,1814,306,1508,837
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,1600,5,0,5,499
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,1800,437,317,120,221
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,200,70,0,70,42
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,400,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,600,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,800,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,1000,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,1200,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,1400,2355,1640,715,174
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,1600,20,4,16,1
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,1800,696,364,332,73
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,200,349,0,349,70
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,400,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,600,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,800,380,0,380,0
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,1000,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,1200,851,0,851,0
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,1400,1518,1367,151,988
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,1600,695,0,695,20
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,1800,31,31,0,665
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,200,84,0,84,349
